ID,H,w
2018-Es-01810,0.22402757,0.63886946
2018-Es-00372,0.17304124,0.7074541
2018-Es-00074,0.26557285,0.587931
2018-Es-01321,0.20803127,0.659639
2018-Es-06067,0.17797238,0.7005113
2018-Es-04736,0.29243505,0.55717826
2018-Es-02438,0.23011795,0.63113475
2018-Es-02211,0.11649087,0.792168
2018-Es-04548,0.20247301,0.6670128
2018-Es-00058,0.17995574,0.69773805
2018-Es-04360,0.14858936,0.74291116
2018-Es-00697,0.13868517,0.7577738
2018-Es-02679,0.26206526,0.5920699
2018-Es-06338,0.16906865,0.71309733
2018-Es-04811,0.24030074,0.6184113
2018-Es-03977,0.28549784,0.5649626
2018-Es-04275,0.25775772,0.5971927
2018-Es-05761,0.28571942,0.5647123
2018-Es-03882,0.24703225,0.6101414
2018-Es-06698,0.19437502,0.6779037
2018-Es-03179,0.24516946,0.61241883
2018-Es-04721,0.22983332,0.6314941
2018-Es-00766,0.18187536,0.6950644
2018-Es-02293,0.1732136,0.70721024
2018-Es-04169,0.16475518,0.7192758
2018-Es-06850,0.31184533,0.53596276
2018-Es-03418,0.18960379,0.68440354
2018-Es-06228,0.22507158,0.63753694
2018-Es-02362,0.13440217,0.7642928
2018-Es-04007,0.12563553,0.77781147
2018-Es-05056,0.18477097,0.6910508
2018-Es-03347,0.19167534,0.6815738
2018-Es-06611,0.21630153,0.648818
2018-Es-02105,0.17733333,0.70140725
2018-Es-02187,0.23393898,0.62632996
2018-Es-01620,0.22908713,0.6324373
2018-Es-00201,0.17596728,0.70332617
2018-Es-02865,0.2724694,0.5798773
2018-Es-02767,0.2510369,0.60527414
2018-Es-03654,0.1354468,0.7626976
2018-Es-04734,0.30913296,0.5388781
2018-Es-01956,0.16171108,0.72366834
2018-Es-01172,0.19061376,0.68302244
2018-Es-03009,0.22763647,0.63427484
2018-Es-04760,0.28914568,0.56085587
2018-Es-01304,0.20781422,0.65992546
2018-Es-00757,0.28886375,0.5611722
2018-Es-04763,0.22102354,0.6427194
2018-Es-04068,0.11592705,0.7930618
2018-Es-05571,0.20090283,0.6691108
2018-Es-06346,0.23357905,0.626781
2018-Es-00361,0.2652856,0.5882689
2018-Es-05389,0.30989683,0.5380555
2018-Es-01658,0.265475,0.5880461
2018-Es-01854,0.19243576,0.68053806
2018-Es-02710,0.28183603,0.5691154
2018-Es-00262,0.22359677,0.63942015
2018-Es-05601,0.27555996,0.576304
2018-Es-00323,0.27940476,0.57188946
2018-Es-01901,0.29422072,0.55519193
2018-Es-03092,0.2749058,0.57705855
2018-Es-04134,0.18656863,0.68857074
2018-Es-02091,0.25143406,0.60479355
2018-Es-06130,0.2373548,0.6220657
2018-Es-04136,0.15063876,0.7398724
2018-Es-02893,0.23069577,0.6304058
2018-Es-06483,0.20795797,0.6597358
2018-Es-04770,0.18598224,0.68937874
